Site,URL,Title,Author,Date,Word Count,Reading Time,Images Count,Links Count
https://www.alternet.org,https://www.alternet.org/news/,A Little Good News and Some Bad on COVID-19,,,129,1,1,5
https://www.theatlantic.com,https://www.theatlantic.com/politics/archive/2025/09/charlie-kirk-spiritual-warfare/684389/,Charlie Kirk and the ‘Third Great Awakening’,,2025-09-27T11:00:00Z,1515,7,3,18
https://www.theatlantic.com,https://www.theatlantic.com/technology/2025/09/dead-relative-chatbot/684393/,I Used ChatGPT to Resurrect My Dead Father,,2025-09-28T11:00:00Z,2345,11,1,8
https://www.theatlantic.com,https://www.theatlantic.com/politics/archive/2025/09/putin-trump-elections-autocrat/684298/,The Race to Save America’s Democracy,,2025-09-28T12:00:00Z,1211,6,2,20
https://www.theguardian.com,https://www.theguardian.com/news/ng-interactive/2025/sep/28/you-have-to-live-ukrainians-on-frontline-practice-normality-despite-russian-bombings,‘You have to live’: Ukrainians on frontline practise normality despite Russian bombings,Luke Hardingin Sloviansk. Photography byAlessio Mamo,2025-09-28T16:05:27.000Z,1621,8,6,21
https://www.theguardian.com,https://www.theguardian.com/news/2025/sep/27/six-great-reads-meeting-matthew-mcconaughey-stodgy-puddings-and-the-truth-about-the-boriswave,"Six great reads: meeting Matthew McConaughey, stodgy puddings and the truth about the ‘Boriswave’",,,516,2,7,21
https://www.theguardian.com,https://www.theguardian.com/technology/2025/sep/28/why-i-gave-the-world-wide-web-away-for-free,Why I gave the world wide web away for free,Tim Berners-Lee,,1079,5,1,17
https://www.huffpost.com,https://www.huffpost.com/news/,Latest News,,,0,1,35,106
https://www.huffpost.com,https://www.huffpost.com/news/us-news,U.S. News,,,0,1,35,108
https://www.huffpost.com,https://www.huffpost.com/news/world-news,World News,,,0,1,35,107
https://www.motherjones.com,https://www.motherjones.com/politics/2025/09/new-york-citys-eric-adams-era-is-over/,New York City’s Eric Adams Era Is Over,Julianne McShane,,768,3,1,15
https://www.motherjones.com,https://www.motherjones.com/politics/2025/09/trump-us-troops-military-portland-oregon-full-force-truth-social/,Trump Says He’ll Send Troops to Portland and Sanction “Full Force” Against Americans,Ari Berman,,472,2,1,14
https://www.motherjones.com,https://www.motherjones.com/politics/2025/09/home-insurance-premiums-flood-fire-climate-risk/,How a Warming Planet Has Made Home Insurance Increasingly Unaffordable,Gilbert M. Gaul,,2390,11,1,5
https://www.msnbc.com,https://www.msnbc.com/msnbc/news/trump-james-comey-indictment-us-attorney-lindsey-halligan-rcna233853,How Trump's new U.S. attorney got Comey indicted — by herself,,2025-09-26T15:40:09.022Z,760,3,3,17
https://www.msnbc.com,https://www.msnbc.com/news/news-analysis/democrats-shutdown-trump-rescissions-spending-rcna233554,Republicans guaranteed a shutdown this fall when they sided with Trump,,2025-09-27T10:00:41.000Z,865,4,1,7
https://www.msnbc.com,https://www.msnbc.com/news/news-analysis/trump-tiktok-deal-oracle-government-business-rcna233797,TikTok is the latest example of the U.S. government taking a cut of business deals,,2025-09-26T15:46:07.724Z,1113,5,2,25
https://www.thenation.com,https://www.thenation.com/article/culture/one-battle-after-another-pta-pynchon/,Log In,Layla Saliba,"September 26, 2025",2312,11,4,13
https://www.thenation.com,https://www.thenation.com/article/society/palestinians-political-violence-charlie-kirk-genocide/,Log In,Layla Saliba,"September 26, 2025",1303,6,2,36
https://www.thenation.com,https://www.thenation.com/article/politics/kamala-harris-107-days/,Log In,Layla Saliba,"September 26, 2025",1971,9,2,27
https://www.nytimes.com,https://www.nytimes.com/article/serial-the-retrievals.html,"From Serial Productions: The Retrievals, Season 2",,2023-06-22T09:00:26.000Z,155,1,14,20
https://www.nytimes.com,https://www.nytimes.com/article/submit-crossword-puzzles-the-new-york-times.html,Submit Your Crossword Puzzles to The New York Times,,2025-07-07T12:34:28-04:00,452,2,0,10
https://www.nytimes.com,https://www.nytimes.com/2025/09/28/us/politics/federal-government-shutdown-trump.html,"With Scant Information, Federal Workers Brace for Possible Shutdown",,2025-09-28T05:02:43-04:00,168,1,2,15
https://www.newyorker.com,https://www.newyorker.com/news/the-lede/the-politics-of-faith-after-charlie-kirk,The Politics of Faith After Charlie Kirk,ByMichael Luo,2025-09-28T06:00:00-04:00,1816,9,1,17
https://www.newyorker.com,https://www.newyorker.com/news/the-lede/the-flimsy-dangerous-indictment-of-james-comey,"The Flimsy, Dangerous Indictment of James Comey",ByRuth Marcus,2025-09-26T16:45:04-04:00,1427,7,1,13
https://www.newyorker.com,https://www.newyorker.com/news/the-lede/is-trumps-attack-on-the-media-following-putins-playbook,Is Trump’s Attack on the Media Following Putin’s Playbook?,ByJoshua Yaffa,2025-09-26T06:00:00-04:00,1611,8,1,8
https://www.slate.com,https://slate.com/technology/2025/09/onlyfans-chaturbate-sex-cam-older-americans-gig.html,The Rise of the GILF Economy,,"Sept 24, 20255:45 AM",2351,11,3,20
https://www.slate.com,https://slate.com/technology/2025/09/trump-tylenol-rfk-jr-autism-vaccines-pediatrician-parents.html,I’m a Pediatrician. Here’s What I Tell Parents When They Bring Me RFK Jr.’s Claims.,,"Sept 26, 202512:46 PM",1180,5,3,23
https://www.slate.com,https://slate.com/technology/2025/09/elon-musk-tesla-crypto-hahayes-doge-cult.html,Inside the Bizarre World of Elon Musk’s Last True Believers,,"Sept 26, 20255:45 AM",1707,8,3,21
https://www.vox.com,https://www.vox.com/news/archives/2,More News,,2025-09-24T10:06:00+00:00,0,1,81,86
https://www.bloomberg.com,https://www.bloomberg.com/news/articles/2025-09-28/nyc-mayor-adams-exits-race-as-reelection-campaign-falters?srnd=homepage-americas,"NYC Mayor Adams Exits Race, Warns Against Vote for ‘Chaos’",Georgia Hall,2025-09-28T17:15:52.819Z,136,1,1,7
https://www.bloomberg.com,https://www.bloomberg.com/news/articles/2025-09-28/trump-to-meet-congressional-leaders-monday-as-us-shutdown-nears?srnd=homepage-americas,Trump to Meet Democrats With Both Sides Dug In on Shutdown,Alicia Diaz,2025-09-28T00:05:45.504Z,127,1,1,5
https://www.bloomberg.com,https://www.bloomberg.com/news/articles/2025-09-27/trump-orders-us-troops-to-portland-authorizes-full-force,Trump Orders US Troops to Portland Citing Anti-ICE Protests,María Paula Mijares Torres,2025-09-27T14:33:02.861Z,145,1,1,6
https://www.cbsnews.com,https://www.cbsnews.com/detroit/news/grand-blanc-michigan-church-shooting-fire/,"At least 2 killed, 8 injured in shooting at Michigan church; suspect dead, police say","ByNick  Lentz,Joseph  BuczekJoseph  BuczekManager of Digital Content and Promotion, CBS DetroitJoe Buczek is manager of digital content and promotion at CBS Detroit. He previously worked at WWTV, the Grand Traverse Insider, the Leader and the Kalkaskian, the Oakland Press and the Morning Sun.Read Full BioJoseph  Buczek",2025-09-28T15:33:48-0400,1068,5,8,22
